sedalea,sedaleaname,stateabb,cs_mn_avg_eb,cs_mn_avg_eb_se_adj,year,tot_asmts,cellcount,mn_asmts
620460,Pacifica,CA,0.1766758077435209,0.0225866432666778,2019,3996,12,333.0
4113170,West Linn-Wilsonville SD 3J,OR,0.4103052197720596,0.0198436250901555,2019,9175,12,764.5833333333334
4019560,Mcloud,OK,-0.2175455898667883,0.027611500686586,2019,1636,12,136.3333333333333
4842060,Taft ISD,TX,-0.7111656170880822,0.0385491761362294,2019,607,8,75.875
3401260,Bayonne School District,NJ,0.0889322732913259,0.0221229102550501,2019,8129,11,739.0
5606090,Weston County School District #7,WY,0.0226196251012597,0.0421180336438113,2019,214,12,17.83333333333333
2614690,Gwinn Area Community Schools,MI,-0.4345964208348022,0.0332845001879845,2019,947,12,78.91666666666667
2505070,Freetown-Lakeville,MA,0.2778528638655612,0.0245505633304799,2019,2792,12,232.6666666666667
3017610,Manhattan School,MT,0.3280164364562767,0.0326006526399777,2019,652,12,54.33333333333334
2802700,Louisville Municipal School District,MS,-0.0347503757584077,0.0220358179284491,2019,2750,12,229.1666666666667
2635220,Warren Woods Public Schools,MI,-0.1631436333656427,0.0247631436670181,2019,2765,12,230.4166666666667
4825680,Kingsville ISD,TX,-0.5789745432902937,0.0273954391944714,2019,2065,8,258.125
5300950,Cascade School District,WA,0.2226387227305072,0.0353559364388915,2019,1200,12,100.0
2803120,New Albany Public Schools,MS,0.1929367401708535,0.0246524083500078,2019,2002,12,166.8333333333333
4004500,Bixby,OK,0.3450732960181487,0.0196783520642569,2019,5974,12,497.8333333333333
632430,Richgrove Elementary,CA,-0.9669509148512712,0.0359437964440703,2019,816,12,68.0
2741850,Warroad Public School District,MN,0.1774427388251824,0.0311662349495416,2019,862,12,71.83333333333333
2003630,Augusta,KS,0.0289587482211749,0.027136839505128,2019,1933,12,161.0833333333333
4829280,Mason ISD,TX,0.1293383331678071,0.0390032530814871,2019,418,8,52.25
3409660,Maple Shade School District,NJ,-0.3075919507304202,0.0274584205750905,2019,1926,11,175.0909090909091
3417910,White Township Consolidated School District,NJ,0.2332668883985795,0.0456310541333359,2019,217,7,31.0
100420,Blount County,AL,-0.2749471720424714,0.0215613653337074,2019,6895,12,574.5833333333334
2314767,RSU 74/MSAD 74,ME,-0.22766824129701,0.0381746890507412,2019,562,12,46.83333333333334
2930510,Miller County R-III,MO,-0.3122396454017954,0.0592206459623346,2019,170,11,15.45454545454546
621090,Lassen View Union Elementary,CA,-0.0735318042412113,0.0370598051534747,2019,474,12,39.5
1800660,Blue River Valley Schools,IN,-0.063763653179583,0.0371920393481527,2019,636,12,53.0
2101860,Fayette County,KY,0.0712580986551093,0.017297134605495,2019,38488,12,3207.333333333333
625230,Mojave Unified,CA,-0.940545568181436,0.0281228570278081,2019,2688,12,224.0
514010,West Fork School District,AR,-0.2873051551251268,0.0370241690854911,2019,912,12,76.0
403060,Fowler Elementary District (4273),AZ,-0.5027471689351121,0.0223712587905187,2019,5298,11,481.6363636363636
2006930,Southern Lyon County,KS,0.2292898094155334,0.0434119365289652,2019,415,12,34.58333333333334
2803630,Picayune School District,MS,-0.1256486700275627,0.0217666361979023,2019,3113,12,259.4166666666667
4015690,Jay,OK,-0.3568497742179687,0.027944757614425,2019,1478,12,123.1666666666667
3811820,Mandan 1,ND,0.0369296498616958,0.0207557876024891,2019,3599,12,299.9166666666667
609450,Columbia Elementary,CA,0.0190401614697501,0.0246195755346526,2019,1673,12,139.4166666666667
4219500,Pocono Mountain SD,PA,-0.1067296369736525,0.0211780144887919,2019,7350,11,668.1818181818181
4844160,Vidor ISD,TX,-0.2396348501880964,0.0250631286884735,2019,2672,8,334.0
2506690,Lee,MA,0.2089614375011155,0.0363419365787679,2019,566,12,47.16666666666666
3904742,Arlington Local,OH,0.2908349477832899,0.0411476612458294,2019,401,10,40.1
4100020,North Santiam SD 29J,OR,-0.0706734850795661,0.0276422366650182,2019,2067,12,172.25
4210350,Frazier SD,PA,-0.0286023983460075,0.0455612936104908,2019,338,4,84.5
3406570,Hammonton School District,NJ,0.0637926986952598,0.0268559051351683,2019,2600,11,236.3636363636364
4400600,Little Compton,RI,0.394977113432567,0.039730447854735,2019,328,12,27.33333333333333
1304860,Terrell County,GA,-0.6051121039346664,0.0296062877926922,2019,1158,12,96.5
3100130,Cross County Community Schools,NE,0.3029484822631092,0.0417581214661839,2019,317,12,26.41666666666667
3904675,Buckeye Valley Local,OH,0.2733341840099254,0.0308369828893659,2019,1576,10,157.6
1741790,Westchester SD 92-5,IL,-0.0482303745937817,0.0306284798639172,2019,1483,12,123.5833333333333
4202550,Apollo-Ridge SD,PA,0.0111270923245284,0.032196385191213,2019,1064,12,88.66666666666667
4812640,Cameron ISD,TX,-0.2007159257952134,0.032348601719228,2019,1014,8,126.75
103510,Wilcox County,AL,-1.122552840958047,0.0333483418829927,2019,1303,12,108.5833333333333
5512810,Rice Lake Area School District,WI,0.2230858037055727,0.0282162879310726,2019,1883,12,156.9166666666667
4109120,Oakland SD 1,OR,0.0726387148327528,0.040593092228766,2019,568,12,47.33333333333334
627240,Newport-Mesa Unified,CA,0.1972246622050963,0.0177290522276378,2019,18118,12,1509.833333333333
607200,Campbell Union,CA,0.1065874121978443,0.020521331498031,2019,9073,12,756.0833333333334
3000094,West Glacier Elementary,MT,0.6954123896561745,0.0478987794799368,2019,58,8,7.25
4828140,Loop ISD,TX,-0.1992206353716021,0.0556717634839917,2019,91,8,11.375
2101760,Estill County,KY,-0.1860259941489144,0.0275438651903273,2019,2056,12,171.3333333333333
611110,Desert Sands Unified,CA,-0.2149112223722775,0.0171161376939676,2019,25098,12,2091.5
4033600,Zion,OK,-0.0716867205544374,0.044122644833082,2019,370,12,30.83333333333333
1903540,Ames Community School District,IA,0.230876915526302,0.0261488890808605,2019,4160,12,346.6666666666667
3412900,Pequannock Township School District,NJ,0.7148308629180399,0.0311202609629952,2019,1664,11,151.2727272727273
